Data Folder Directory,isomer,sphingoidBackbone,chainLength,unsaturationUnit
/Users/Neurolipidomics/Desktop/iDMS/test data/Gal/1uM b-GalCer C8 in mix of 17 Gal_DMS_20201028150850 #1,Gal,d18:1,8,0
/Users/Neurolipidomics/Desktop/iDMS/test data/Gal/1uM b-GalCer C22-1 in mix of 17 Gal_DMS_20201029101931 #1,Gal,d18:1,22,1
/Users/Neurolipidomics/Desktop/iDMS/test data/Gal/1uM b-GalCer C22 in mix of 17 Gal_DMS_20201029113406 #1,Gal,d18:1,22,0
/Users/Neurolipidomics/Desktop/iDMS/test data/Gal/1uM b-GalCer C21 in mix of 17 Gal_DMS_20201028171953 #1,Gal,d18:1,21,0
/Users/Neurolipidomics/Desktop/iDMS/test data/Gal/1uM b-GalCer C20 in mix of 17 Gal_DMS_20201028170151 #1,Gal,d18:1,20,0
/Users/Neurolipidomics/Desktop/iDMS/test data/Gal/1uM b-GalCer C18-1 in mix of 17 Gal_DMS_20201028162604 #1,Gal,d18:1,18,1
/Users/Neurolipidomics/Desktop/iDMS/test data/Gal/1uM b-GalCer C18 in mix of 17 Gal_DMS_20201028164356 #1,Gal,d18:1,18,0
/Users/Neurolipidomics/Desktop/iDMS/test data/Gal/1uM b-GalCer C16-1 in mix of 17 Gal_DMS_20201028160306 #1,Gal,d18:1,16,1
/Users/Neurolipidomics/Desktop/iDMS/test data/Gal/1uM b-GalCer C16 in mix of 17 Gal_DMS_20201028154509 #1,Gal,d18:1,16,0
/Users/Neurolipidomics/Desktop/iDMS/test data/Gal/1uM b-GalCer C14 in mix of 17 Gal_DMS_20201028152704 #1,Gal,d18:1,14,0
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
